idx|study|wake|name_key|n_target|n_distances|outdir|walltime_hr|distances|python_args
1|cross_section_fixed|bast|dei|50|1|analysis/cross_section_fixed_funwake_k500_packed/dei_s1|24|20|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 20 --wind-rose dei
2|cross_section_fixed|bast|dei|50|2|analysis/cross_section_fixed_funwake_k500_packed/dei_s2|24|30,40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit bastankhah --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 30,40 --wind-rose dei
3|cross_section_fixed|tp|dei|50|1|analysis/cross_section_fixed_tp_funwake_k500_packed/dei_s1|24|10|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit turbopark --ti 0.06 --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 10 --wind-rose dei
4|cross_section_fixed|tp|dei|50|1|analysis/cross_section_fixed_tp_funwake_k500_packed/dei_s2|24|15|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit turbopark --ti 0.06 --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 15 --wind-rose dei
5|cross_section_fixed|tp|dei|50|1|analysis/cross_section_fixed_tp_funwake_k500_packed/dei_s3|24|20|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit turbopark --ti 0.06 --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 20 --wind-rose dei
6|cross_section_fixed|tp|dei|50|1|analysis/cross_section_fixed_tp_funwake_k500_packed/dei_s4|24|30|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit turbopark --ti 0.06 --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 30 --wind-rose dei
7|cross_section_fixed|tp|dei|50|1|analysis/cross_section_fixed_tp_funwake_k500_packed/dei_s5|24|40|scripts/run_regret_cross_section.py --n-bearings 24 --n-inner-starts 500 --inner-max-iter 5000 --k-liberal 500 --deficit turbopark --ti 0.06 --schedule funwake_iter192 --chunk-size 25 --wind-speed 9.0 --n-bins 24 --distances-D 40 --wind-rose dei
